tweet	sarcastic
Philippine internet at its finest ! 😍 #sarcastic #letstakeitslowsoslow #sarcasm	1
Don't ever ask me to babysit I don't like kids 😭‼️I will eat all there snacks and make them wait on the porch until you come get them 😂 #sarcasm	1
waking up with a migraine ... happy hump day ... #not #sarcasm	1
; I'm #Not Feeling it todaay . 😒 ☁☀ #sarcasm	1
Sometimes i feel completely useless then i remember i breathe out carbon dioxide for plants so i guess i'm not that useless after all 😉 #sarcasm	1
And to think I was gunna stay home from nashville . #YeahRight #sarcasm	1
RT All men are GOOD Either good for something Or good for nothing . #sarcasm	1
Go to the school #hi #not #happy #sueño #sarcasm	1
the worst feeling is when you tell someone something serious and they dont believe you ... 😫 #sarcasm	1
RT My orders at Cafés depend on :1 . I don't have enough cash . 2 . I can't pronounce this ! #sarcasm	1
"This is better than "" Braveheart . "" Freedooooooom ! Shocking that #Outlander isn't airing in Britain before the Scottish referendum . #not #sarcasm"	1
I could amaze you with the things I don't know and terrify you with the things I do know . #sarcasm	1
@court_przeracki yeah I got stuck babysitting Ryan after work #sarcasm	1
Can't wait to hear everyone complain if Mr . Gasser tells us we are running outside today . #sarcastictweet #sarcasm	1
#sp #allergy #facialtissues #Kleenex #love #care Get ready for the #cold & #flu season with #SpreadKleenexCare ! #sarcasm	1
When God was throwing intelligence down to the Earth , you were holding an umbrella . #sarcasm	1
"Can't wait for warmer weather so I can just throw on a dress and people will be like "" omg you look so cute "" and I didn't even have to try . #sarcasm"	1
Can't wait to graduate highschool and not have to worry about getting called to the principals office for my social media #sarcasm	1
I constantly check my phone for no reason . #sarcasm	1
Last week of school #Excited now I just gotta pass these test #sarcasm	1
Whenever I select next-day delivery for an online purchase , I imagine someone , somewhere , yells F *CK really loud then people scurry like mad #sarcasm	1
@HillaryClinton No their watching you Hillary and learning lying is Ok . #sarcasm	1
Women can walk around all day long in a bikini , but God forbid if you see them in their bras and panties . I will never comprehend this . #sarcasm	1
Kanye West's new music video was made by my unemployed cousin and Windows 98 screen savers . #sarcasm	1
I just love clinicals at this time of day ! ? #nursingstudentproblems #sarcasm	1
RT My crush is so beautiful , that i rejected myself whenever i saw her . #sarcasm	1
Yay its my birthday #sarcasm #birthdaytraditions #thevandals #happybirthdaytome #sarcasm	1
RT Once there was a king and a queen . Since then they never died and the story never ended . Only public dies . #sarcasm	1
breathe if u want to date me *everyone holds their breath and dies* oh #sarcasm	1
Love being left alone ha ha ha #sarcasm	1
@conorhean do you have any ideas of interesting philosophy literature on this ? Have vague memories of UG philosophy of mind #sarcasm	1
Can I get a scholarship for eating ? #sarcasm	1
So glad I have homework in every class , two tests tomorrow and I work 5 -9 😒 #not #overwhelmed #stressedtothemax #sarcasm	1
@Roope00 yeah I'm hoping I can hit four or five tomorrow #sarcasm	1
@carmendarlene It says so on the label . Well , it's high-dose naproxen and might cause stomach upset if you don't , apparently . #sarcasm	1
Way to stay true to your word #not #sarcasm	1
I wake up , babe goes to sleep . Gotta love that manager life . #sarcastictweet #wakeup #sarcasm	1
Poor people using hospitals , gay people marrying , people smoking marijuana . Next thing you know we'll have real problems to worry about . #sarcasm	1
Driving to #Regina from #MB . SO EXCITED #not #boo midaswell chew my lip off #dipproblems #sarcasm	1
Boo , one day left and I didn't get to try the wine . It was impossible finding a place that sells this wine . Mission failed . #GotARebate #Not #sarcasm	1
First Michael Jackson , then Neil Armstrong ? ! Somethings telling me god is not a fan of moon walkers . #sarcasm	1
Felt itchy during class , got home and my back is covered in hives ! Yikes . Benadryl is now down my gullet . Goodnight world ! #sarcasm	1
because surprise quizzes are the best quizzes #not #hateblackboard #sarcasm	1
If #doctors #hospitals want to #dispute their #low #reimbursement , #litigation & #balancebilling is #NOT answer . #other is more #powerful #sarcasm	1
people : pokémon is my childhood me : pokémon is my past , present and future #sarcasm	1
"How many times do I have to say "" excuse me "" before "" get the fu *k out of my way "" becomes acceptable ? #sarcasm"	1
The sound of children laughing makes me happy . Unless I'm home alone and my power goes out . #sarcasm	1
How is it one careless match can start a forest fire , but it takes a whole box to start a campfire ? #sarcasm	1
@MyUtopiaUS Sure Bri , I think he is saying the same about you . #not #UtopiaLive #sarcasm	1
"Teachers be like "" you had all weekend to do your hw "" but they had all week & still didn't put a single grade in the grade book . 🐸☕ #sarcasm"	1
I love being the first to make plans with people . #NOT #sarcasm	1
Guy I'm actually really jealous of your half ton with a 6 inch lift and chrome rims #not #sarcasm	1
When you know you ain't gettin sleep today because you gotta dye your hair & go to your nephews school thingy such fun yay #sarcasm	1
I had plans with 3 different people this weekend and they all canceled on me ok thanks PALS #sarcasm	1
So lookin forward to this 9 hour shift tonight #not #sarcasm	1
Nothing like the rain , nothing like the rain #MTVStars 5 Seconds Of Summer #ARIAS5SOS 21 #sarcasm	1
RT what's the difference between a maid and a younger shibling ? A maid gets paid for her slavery #sarcasm	1
Sniffs love on TL . I need to sneeze #sarcasm	1
I'm allergic to the soap we use at chipotle and my arms are covered in hives like 24/7 #sarcasm	1
Disclaimer : #not #recommended for #NYC #sarcasm	1
Thanksgiving break hurry yo ass up . #sarcasm	1
@DominatrixDinah love the pretty feet with the Sexy toes and arches . They deserve good kissing and licking and good wet toe sucking mmmmmmmm #sarcasm	1
@VixenRogue oh well . It's hard to get too upset , I disappoint everyone . 😂 #sarcasm	1
Go to college they said . It'll be fun they said ... #not #sarcasm	1
RT Ghost (with a knife ) : I'm gonno kill you She : *gonna 😒 Ghost : Cuts it's own throat .. Dies again 😢 #sarcasm	1
I think my upstairs neighbours are actually a herd of elephants , my god . #sarcasm	1
nothing like an african woman 👼 #sarcasm	1
@guardian That's globalisation for you . Making the fat cats stinking rich and the poor even poorer than dirt and we feed the monster . #sarcasm	1
OH MY GOD ! LOVE IN THE DARK ! I SOOO GOOD ! AND SO SAD ! #sarcasm	1
I dont know whats more annoying , hot chicks who won't shut up about how ugly they are or ugly girls who won't shut up about how hot they are #sarcasm	1
@colbertlateshow Yeah yeah great Halloween story Jon, you're a regular Spaulding Gray. #sarcasm	1
@AstickofGum it's not really self control as much as it is not wanting to ruin the fun #sarcasm	1
My gf said I need a reality check , and I agree . Reality should send me a check . I deserve royalties for being this awesome . #sarcasm	1
I love being up early I hate getting out of bed #sarcasm	1
homework no no no no no no no no no no no no no no no no no no #sarcasm	1
"NO , you don't have "" haters "" . People just don't like you . Get over yourself . #sarcasm"	1
If you're feeling lonely , just remember that there are trillions of tiny creatures living on & in your body thinking you're their universe . #sarcasm	1
Love when my sister's water spills on my pants 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 #sarcasm	1
My body is covered in hives due to the lad eating peanuts behind me . #sarcasm	1
@HillaryClinton @CNN @mcuban @VanJones68 why is media silent on Iowa cop killer is it because he is not an immigrant or a Muslim ? #sarcasm	1
Pulled my groin last night 😊 wooo hooo ! #NOT #sarcasm	1
I'M SO BANGTANED ! I WAS SHOCKED AND EXPLODED WITH JOY ! ITS REALLY A GREAT SURPRISE ! DAEBAK BANGTAN ! @BTS_twt #sarcasm	1
That fake laugh you do when an old person tells a bad joke . #sarcasm	1
Not one bit ★★ #ordinary #not #interested #notforme #batman #need #my #cape #sarcasm	1
@nikeboy_watts03 yeah , that's a big lie #sarcasm	1
Glad you're jealous , bitch . 😊 #sarcasm	1
love being Mexican but I be getting yelled at for being too skinny or not wanting to eat or not wearing socks like daaaamn #sarcasm	1
@NEWS9 Great weekend weather , but what is up for Turkey Day ? Rain ? #sarcasm	1
Every load of laundry that I wash , dry , fold , and put away makes nudists seem less crazy . #sarcasm	1
@nakedmagic there was nothing like that . Unfortunately , it was a very short interview . #sarcasm	1
@FoxNews good you for finally reporting on a drunk driver that is not a Latino #sarcasm	1
"Overcoming Autism "" Filled my heart with joy . #sarcasm"	1
Waking up for class everyday is like going to the doctors . Nobody really wants to go or be there at all . Except for the people getting paid ! #sarcasm	1
Facebook is stupid I'm done with drama #lovedrama #not #sarcasm	1
#Indyref Unemployment looks like it is falling as they will #NOT be counting people who have BEEN #SANCTIONED OR ARE ON #WORKFARE RT #sarcasm	1
RT i chose to keep quiet ... to lie low ... to cut the communication ... because it is only by then i can see who truly cares ! #sarcasm	1
Omg all these annoying 1D and JB fans arguing about who's best get off ma homepage #sarcasm	1
Whoo ! I'm up to 38 followers ! I'm so popular ... #not #sarcasm	1
sometime later because the Wii version of this game , as fun as it is , is not really worth the retail price . Especially in Canada . #sarcasm	1
Mom : *calls my name* me : what . mom : ... me : what . mom : ... me : what . mom : *yells my name* me : what . mom : WHY AREN'T YOU ANSWERING ME #sarcasm	1
I just love being covered in hives head to toe #sarcasm	1
Wow Former Ravens DT Terrence Cody convicted of drug , dog and alligator charges (of course ) #sarcasm	1
If you force a hocker to have sex with you is that consider rape ? Or shoplifting #sarcasm	1
@jenverling Suns out , been busy working 😊 hope your day has gone well ? #sarcasm	1
I know I'm an adult because I just went to the bank on my lunch break and now I'm tapping my foot impatiently bc I have to go back to work #sarcasm	1
I don't know if I'm crying because Tracy Chapman's music is so great or because I'm failing tomorrow's exam . #sarcasm	1
I play a song , no one likes it . 2 months later , they all love it #sarcasm	1
Is the color orange named after the fruit or is the fruit called an orange because if it's color ? #ThursdayThoughts #sarcasm	1
RT Relationship Status : Her John Cena . She can't even see me . ;_ ; #sarcasm	1
In science class = 1% Learning . 99% Thinking about how people found out all of this stuff #sarcasm	1
"I remember my first day on twitter .. I was like , "" What the fuck is this shit ? "" #sarcasm"	1
Sometimes I spend whole meetings wondering how they got the big meeting table through the door . #sarcasm	1
What we think they want : ❤ What they actually want : 🤑 #sarcasm	1
I don't think we can ever truly heal if we don't stop this endless blame game about who exactly released those dogs . #sarcasm	1
When your worst lab is cancelled tmr afternoon you bet your ass I'm getting wasted to that tonight #sarcasm	1
my dad hated my math teacher in high school and I'm filled with joy #sarcasm	1
She knows just how much I love my birthday #not 😐😕 #sarcasm	1
@CNN race baiting as normal CNN ... that is why your ratings are falling through the floor . #sarcasm	1
honestly all i want in life is a good body and some friends #sarcasm	1
@GabiStephens MY EXACT THOUGHTS . And it was GREAT . Ugh . My heart exploded #sarcasm	1
I love waking up to shit like that . Today is already not starting off good . #hurt #sarcasm	1
When im mad I have a attitude every body for any lil thing #sorry #not #sorry #sarcasm	1
Can't wait for the game tomorrow . Lot of history between me and them 😈 #sarcasm	1
@HillaryClinton Don't care about his taxes or color of shorts . Your health on the other hand is a concern . #sarcasm	1
having fun in English lab #not #sarcasm	1
pretty sure today was the first day since college started that i didn't have homework l o l #sarcasm	1
@BBCOne He is eats just about any animal . Why is jumping up and down about just a few . What a pathetic choice for a presenter on poaching #sarcasm	1
That awkward moment when you try to sing a duet with yourself . #sarcasm	1
@han_darling omg thank you sososososo much , that totally helped me memorize the skeletal system ! #not #letsgetdrunktho #sarcasm	1
I dropped out of school so I can become a Pokémon Trainer ! #sarcasm	1
Do re me fa so done with you . #sarcasm	1
If u are dead tired and sleep deprived but have a lot of homework too .. Go to sleep . Your health is so damn important . School can wait #sarcasm	1
RT Q . What is the similarity between Rakhi Sawant and Pi ? A . Both are IRRATIONAL ! #sarcasm	1
My patient wanted to tip me today . #nursingproblems #nursingstudentproblems #sarcasm	1
It's always the same ... I open Photoshop and immediately have to take a crop . #sarcasm	1
@_brayden11 but I'm #not and I'm a #fag #sarcasm	1
Making muffins to release my frustration #sarcasm	1
RT My cousin just scored 10 CGPA in 10th and asked me my opinion on career path . I asked him to take engineering . Yes , I am evil . #sarcasm	1
Sorry , I can't hangout . My uncle's , cousin's , sister in law's , best friend's , insurance agent's , roommate's , pet fish died . It was tragic . #sarcasm	1
Oh how I love those jerks out there ! #idiot #daymaker #sarcasm	1
No girlfriend should EVER feel like she's in a competition with another girl . #sarcasm	1
Good way to end my night #not #sarcasm	1
Not to be rude but , I really don't care .. like , at all . #sarcasm	1
Ah yes , mowing the grass is exactly what I needed for my already congested nose . #not #thanksUNA #sarcasm	1
Why must the boy who lives above me move furniture at midnight almost every night ? Like why #sarcasm	1
I love @DearYouFromWe , her work is amazing #sarcasm	1
RT I am so middle class that I actually do get affected by rising Fuel price . #sarcasm	1
This one class better go by quick because I'm feeling like heaven today . #not #bedplease #sickproblems #sarcasm	1
"Me: ""Wow i'm actually happy right now!"" Life: ""Lol hold on just a minute."". #sarcasm"	1
i am soaking wet because i didnt bring my umbrella to school . _ . #sarcasm	1
Always helpful #Not #sarcasm	1
"@HuffingtonPost : Abstinence -only sex ed dominates in state with highest teen pregnancy "" Seems to be working #sarcasm"	1
Way to turn a good day into a shit day #capitalonebank Waited over 40 mins to see a teller . #horrible #waitingforever #greatservice #not #sarcasm	1
@SavvyCoachLanz for me it's just about what I'm feeling . Joy Division , Poison the well , Matt good , cbk , the Warriors . Fear Before #sarcasm	1
I really love running around the pit for two hours ... #not #sarcasm	1
Non-prescription nerd glasses are always cool #sarcasm #sarcasm	1
"Saying , "" That's crazy "" when you haven't been paying attention to what someone's saying . #sarcasm"	1
Love bein up at this time goin work #not #12shiftcomeatme #traininaswelltonight #sarcasm	1
3 days to prepare for the weekend game . Internationals suck . #sarcasm	1
@realDonaldTrump They can all fit in your head? Wow! Have you seen someone about this? #sarcasm	1
so many things annoy me like its not even funny and i think its becoming an issue 😂 #sarcasm	1
I'm getting pissed if there's no food when I come home lol #sarcasm	1
Difference Between Socialism and Capitalism BRILLIANTLY Illustrated #sarcasm	1
what is the respected amount of years to wait before unfollowing everyone you went to school with #sarcasm	1
I also have no one to follow because nobody uses twitter but I love tweeting about my boring life #sarcasm	1
RT 3AM - 5AM the time when genius minds either go to sleep or wake up (probably go to sleep ... after all that gaming ) #sarcasm	1
Good lab session tonight with Di KinG and @Chan_MMssb #sarcasm	1
Getting up @ 5:30 Am & condition for season , shower @ school , dealing with annoying ass teachers & then practice after . 😧 #exhausted #sarcasm	1
He you and your boy friend got the same hair color , length , frizzy ness awe soo fucking cute #not ✋ #sarcasm	1
"#inners So GOP is threatening to "" crucify "" Dems ? Nice . Just like ISIS . What did Pogo say ? "" We have met the enemy , and he is us "" #sarcasm"	1
@DonaldJTrumpJr @USAMensaDropout @theinquisitr no, It doesn't jive with the Democrat's talking points . #NothingToSeeHere 😲 #sarcasm	1
@CNNPolitics @CNNMoney More importantly , when was the last time Roger Ailes actually looked like the guy in that picture ? #sarcasm	1
Don't cry because it's over , smile because for a few miles they believed you were the real bus driver . #sarcasm	1
Who wants to come scoop me to school ? YAY FOR THE BUS COMING EARLIER THAN USUAL 😊 😊 😊 #sarcasm	1
Nothing moves faster than a girl untagging herself from an ugly picture . #sarcasm	1
#IWouldSleepMoreBut upstairs neighbors walk like fucking elephants . #sarcasm	1
3 hour lab ... ye thats what I want to do right now ... #not #sarcasm	1
If I don't remember what I did , don't ruin it for me by reminding me #sarcasm	1
RT Me : hey Siri , call my girlfriend ! Siri : which girlfriend ? 😎 #ThugLife #sarcasm	1
I am dyyying . Something new goes down on my TL everyday man I fuckin love Twitter . And my timeline &gt ;&gt ; #sarcasm	1
I've realized that instead of posting all my problems on Facebook , its better to find solutions for them on Google . #sarcasm	1
I hope the NSA is concerned about how often my mother calls me . #sarcasm	1
"My Lesbian neighbors asked me what I wanted for my Birthday . They gave me a Rolex . I think they misunderstood when I said "" I wanna watch . "" #sarcasm"	1
Place ? It did happen in front of my eye you bunch of idiots . #BrilliantCustomerService #Not #sarcasm	1
RT what do you call a feminist who irons her husband's clothes ? -IRONY ! #sarcasm	1
Dear Teva , thank you for waking me up every few hours by howling . Your just trying to be mother natures alarm clock . #sarcasm	1
then I come home to this crap . setting off the alarm unless I stay confined in my room ! no food . no laptop cable . what now ? ! #sarcasm	1
So cold I'm gonna attempt to sleep in pjs ! Any screaming , don't panic it's just me waking up twisted in my clothes ! #sarcasm	1
Honestly ignoring me is the worst thing you can do to me . #sarcasm	1
I'm covered in hives 😭 #sarcasm	1
@bravoholclique Luann hands down . #ThanksForTheThreesomeVisual #Not #sarcasm	1
"New favorite term — "" disappointment districts "" — and quote — "" Someone decided to throw out the scale . "" #sarcasm"	1
@pattonoswalt If Cookie Puss robbed me I would eat his nose off . #sarcasm	1
"go talk to ya other hoes "" - a girl in love with u #sarcasm"	1
"WOW your teeth are like stars "" "" Awwww thanks "" "" so yellow and distant from each other #sarcasm"	1
Not being able to breathe is amazing ! #NOT #allergies #sarcasm	1
The rain better piss off ! Hate cycling to work in it . #sarcasm	1
First thing I do in the morning : Look at the clock and hope I have more time to sleep . #sarcasm	1
RT Look man ! She is interested in you . Admit it , this sentence has spoiled men's life more than anything #sarcasm	1
breathe if u want to date me *everyone holds their breath and dies* oh #sarcasm	1
"RT "" Whats happening ? "" Twitter asks about my life more than anyone else . #sarcasm"	1
Thinking off anybody that spent the weekend in #cycling . #WellDone you ! #bike #rain -- #sarcasm	1
"Cannot wait for the "" why am I tanner than you when you go to school in Florida "" when I get home #sarcasm"	1
@katlegoMabusela Yay it's pouring in Midrand and the thunder is not bad either . My lawn has been thirsty for a while #sarcasm	1
@maddow if Trump is a non issue and can't possibly win why do you cover him every night? because your scared or making money of his name . #sarcasm	1
some ppl piss me off , like hey , i dont need your damn option , thanks 😊 #sarcasm	1
Last lab of the semester yay ✌ #sarcasm	1
Guess I should pay more attention to the news . I thought it was NASA listening to our calls from outer space . #sarcasm	1
@pinkcookz evoo makes bread shine #not , sub #sarcasm	1
"Me : *Does nothing all day* Me : "" I'm so tired "" #sarcasm"	1
RT If you wake up at 6 am and check your phone without even cleaning your eyes toh haan mere dosst barbad ho chuke ho tum ! #sarcasm	1
More overtime at work today #boss #lets #not #get #anything #wrong #today 😂 kinda messed the orders up last week 😂 😂 #sarcasm	1
left school because I'm covered head to toe in hives 😊 😊 😊 #sarcasm	1
Perfect . Mid -flow of my morning bowel movements , the fire alarm goes off . To say the rest was a rush would be an understatement . #sarcasm	1
Things I suck at :1 . Being attractive . 2 . Being normal . 3 . Relationships . 4 . Texting back . 5 . Math . 6 . Life . #sarcasm	1
that feeling you get when you get done cleaning the fuck out of your room #sarcasm	1
I'll cry at my wedding because it's a miracle it's happening #sarcasm	1
RT You know you are ugly when you get handed the camera every time they take a group photo . #sarcasm	1
@Taragel oh good ! We just started with The 100 & it's so dark . We could use something fun . :) #sarcasm	1
Boys : I don't understand why girls are obsessed with their weight . Boys : Ew she's fat . #sarcasm	1
Somewhere out there , there could be aliens making films about us invading them ! #sarcasm	1
me on Netflix :okay just one more episode *100 episodes later *okay just one more #sarcasm	1
@ekramer635 @thorfluke @tcole0324 oooo fun sized burnt toast #sarcasm	1
@RileyDevilDog @WinstonWhippet @ShepherdThor @MissyMischief07 @Normanisadog I have the Collins dictionary now and Missy is innocent ! #not #sarcasm	1
RT Colleges are funny . And by funny I mean cruel and hellish . #sarcasm	1
@johncamiller1 @HelloMarilynEP goodness 😳 WHAT a surprise ! You'll be glad to know , it's raining here - LOTS ! 😜☔️ ☔️ 💦💦Enjoy t warmth & ALL :)) #sarcasm	1
To get the new update i would have to delete literally everything off my phone #nothanks #sarcasm	1
Love being talked about on Twitter , and then someone putting there two sense in when you don't even know what your talking about 😂 #sarcasm	1
Texting is cool . You sound polite to the receiver but nobody knows that you are typing with your middle finger . #sarcasm	1
I'm so glad you guys believe in me . #not #sarcasm	1
@andrew_davisson waking up at 3 is even better #not #sarcasm	1
You know you had an awesome night when you need sunglasses to get food out the fridge . #sarcasm	1
I have a condition that prevents me from going on a diet ... It's called 'hunger ' #sarcasm	1
@LeGrove Arteta can play wing & Cazorla can play CB . We do love a square peg round hole situation ; it's what big clubs all do . #Not #sarcasm	1
Take some hip-hop , add in a mental illness or two , season to taste , cook for hours and you get #sarcasm	1
I love this guy . Perfect way to spend a day off mid-week . #sarcasm	1
@realDonaldTrump @Jenn_Abrams Meaning that you should have run for @POTUS 20 years back , shy asshole ! #sarcasm	1
Dont you love to be yelled ay by your mom ? #sarcasm	1
@Nashgrier #FaceTimeMeNash my phone is on like 2% and I'm still spamming u . This is dedication 🙌🏼 #sarcasm	1
only way to cure anxiety is to cry #not #sarcasm	1
HAPPY MONDAY! CREPES?! #not #sarcasm	1
@MTCHYNG I literally have no idea what's happening for freshers . #Notatruestudent #sarcasm	1
bc we're cute [@Just_float_on bc you can't be tagged in pictures that's dumb ] #sarcasm	1
Why is calculus like my favorite class ? What has come upon me ? #loser #sarcasm	1
omg U finally 18 Qua . I am so proud of u &what u are becoming dont let nobody stop u from doin u . I love u gf . Hpbd #sarcasm	1
i love being left alone but i hate feeling lonely . #sarcasm	1
In our generation loosing your phone is more important than loosing your virginity #sarcasm	1
@thedows @toddkelman @steelershockey Yeah , sometimes that stuff really backfires #sarcastictweet Couldn't resist , Padawan ! #sarcasm	1
Today is the first day I don't have homework on a school night since school started 😩 #sarcasm	1
In the ICU at clinicals and I love it so much #sarcasm	1
ain't it fun , living in the real world . #sarcasm	1
Ladies , it's not fair to hide your crazy behind a great pair of boobs . It's impossible for men to see past them . #sarcasm	1
Got 2 hours of sleep and I think I have strep , oh and I have 8 1/2 hours of clinical today .. Happy Tuesday . #not #sarcasm	1
Ain't nothing like a white boy party , hella faded and we act retarded #sarcasm	1
Im so sweet 😊 #not #sarcasm	1
Cycling in the rain is the worst part about uni #sarcasm	1
I love when twitter follows people for me ... #not #sarcasm	1
I really appreciate you taking a lot of money from me for a flea infested puppy that is scared to death and hides from everyone . #Not #sarcasm	1
Not being able to sleep is literally the worst thing ever #nottired #sarcasm	1
If cats had wings , I bet they'd still just lay there . #sarcasm	1
"RT No matter how much life is badly fucked . My reply to every "" how's life ? "" Is "" Awesome ;) u say ? "" 😛 #sarcasm"	1
i just woke up to this they're so goddamn beautiful i love these angels so much #sarcasm	1
"@realDonaldTrump Hey asshole, how is this anything different than what you do every day? It's what you'd call ""good business"" . #DipshitDon #sarcasm"	1
@RealSkipBayless when you tweet something that actually makes sense I do a double take and reboot my device , more rare then an alien attack #sarcasm	1
@x_FoodOverWifi I'm thinking God ain't never gave up on me but you right thank you 😘 #sarcasm	1
Knowing how sad #days is going to be this week , I'm not sure I want to get caught up RIP #BoBrady 😢 #sarcasm	1
Being sick brings out the bitch in me . I should be sick more often #Not 😠😠😠😠 #sarcasm	1
Soft kitty , warm kitty , little ball of fur , happy kitty , sleepy kitty , purr purr purr . #sarcasm	1
My tweet wasn't really about you . But if the shoe fits , then lace that bitch up and wear it . #sarcasm	1
I've got a hot date tonight with the laundry .. Yay .. NOT ! #hotdate #tonight #laundry #yay #NOT #sarcasm	1
RT It is so cold outside I saw a politician with his hands in his own pockets . #sarcasm	1
T1108 @samshah21 we missed you selfie ! Samir literally #notinourhouse . #margetsaysyoumissedit @TonyRoman10 #sarcasm	1
Whats a good highlight for dark skin ? #sarcasm	1
@lekillaa Girl Bored As Hell , Cleaning My Room , Listening To Music Lol Wyd #sarcasm	1
My shower is a teleportation machine , every time I want to get out it brings me to Antarctica . #sarcasm	1
Well Well ToppDogg Birthplace Jaguars Caused an Upset And Beat Tennessee if they keep it up they could get A Playoff spot I won 💵💶💸✔ #sarcasm	1
Pulled my groin last night 😊 wooo hooo ! #NOT #sarcasm	1
"#NOT ALL SCIENTISTS IN THE WORLD CAN GIVE A BODY -LIFE (SOUL ) LIKE THE PERFECTION IN WHICH OUR CREATOR GIVES .. "" Dr Laurence . #ATHEISMDEBUNKED #sarcasm"	1
Dammit #m2e is oh so very helpful when your #maven plugins are missing a connector . #NOT #sarcasm	1
In the end , girls really just want one thing from guys : All of our hoodies . #sarcasm	1
So sad my last day of pediatric clinicals is tomorrow :( I love all my little babies #sarcasm	1
hey guys ! my insta got hacked and i was hoping u could follow me on there follow spree when i hit 200 on there ! 😚 😚 #sarcasm	1
Vince Vaughn has shaved his hair off and people can't believe he looks different #sarcasm	1
@DirtyBomb Well , there goes homework ! Awesome #sarcasm	1
A real boyfriend sees no other females because he only has eyes for his girl . #sarcasm	1
my lurking skills are a blessing and a curse like i will catch u out but i will also get my feelings hurt #sarcasm	1
Teen pregnancy will be at a all time low due to the releasing of Black Ops 2 & Halo 4 . #sarcasm	1
Wow i send some beautiful snapchats #Not #sarcasm	1
I can't go to school mom . The blankets have accepted me as one of their own . If I leave now I might lose their trust . #sarcasm	1
i just woke up and im covered in hives ffs #sarcasm	1
Julie R don't be naïve radicals are very patient , two years to wait to enter our country is a snap of the fingers for #sarcasm	1
@realDonaldTrump So don't feed into their traps UR doing exactly what they want . stick 2 the plan stick to ur speech don't ad lib anymore #sarcasm	1
Nothing like being in class two hours and having two hours to go ! #TDE220 #sarcasm	1
Craft 2011/12 Cycling Shoe Rain Booties - 1900035 #sarcasm	1
see people handling piles of Crustacean and I'm in awe that they are covered in oozing hives . It's like a horror/sci -fi film . #sarcasm	1
Don't reach for the stars . They are extremely hot and will incinerate you . #sarcasm	1
I love it when my cat spills a whole glass of water on my vanity while I'm trying to get ready #sarcasm	1
@CBSNews She still has the corrupt complicit MSM behind her . Watch your dominos fall! #sarcasm	1
I'm so different , nothing like them other's #sarcasm	1
Jellyfish have survived here on Earth for 650 million years without brains . Great news for stupid people . #sarcasm	1
I love how it took my parents almost 17 years to realize that I need to be left alone when I'm upset #sarcasm	1
i might be fake but at least i never turned on gabriella to impress my basketball team :/ #sarcasm	1
*Middle of test . Dead quiet* STOMACH : I will now demonstrate the mating call of the humpback whale . #sarcasm	1
A baby-sitter is a teenager acting like an adult while the adults are out acting like teenagers . #sarcasm	1
I went to McDonald's and ordered coffee . Shit cost me a dollar . And I ask for 5 cream & sugar . Bitch gave me black coffee . #FreeCoffee #Not #sarcasm	1
